T_cell	B_cell	NK	Monocytes	Macrophages	DC	Neutrophils	Epithelial	Endothelial	Smooth_muscle_cells	Fibroblast	Mast_cell	Platelets
CD3E	CD19	NKG7	CD14	CD14	flt3	NCF1	EPCAM	PECAM1	ACTA2	COL1A1	TPSB2	PPBP
CD3D	CD79A	NCAM1	CD300E	CD68	CD1C	CD177	CDH1	CDH5	Tagln	COL1A2	TPSAB1	PF4
CD3G	CD79B	FCGR3A	CD244	CD163		SORL1	KRT18	VWF	Mustn1	COL3A1	CPA3	TUBB1
		CCL3	HLA-DRA	CD209		Csf3r	KRT8		Myh11	POSTN	MS4A2	GP9
		XCL2	S100A4	AIF1		Slpi			Mylk	DCN	KIT	
			S100A12	CSF1R		S100A8			Pcp4l1	PDGFRA		
			CLEC12A	C1QA		S100A9			Sncg	SOX9		
			LTA4H	C1QB					Lmod1			
			VCAN	C1QC					Des			
			plac8	MRC1								
			CCR2									
